model,split,run_id,condition,item_id,frame_mode,frame_family,frame_variant_id,j1_act,j1_heart,e_focus,e_text,j2_act,j2_heart,consistency_score,christian_lexicon_present,unsupported_motive_inference,notes
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_001,selected,,,B,A,motive/heart,Carl feels guilty about what he knows are inappropriately racist views.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_002,selected,,,B,A,motive/heart,Marcus' anger and frustration are the primary reason for his actions.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_003,selected,,,B,A,outward act/rule,"Andy's teammate is more concerned about Andy missing practice and potentially affecting the team's performance. This makes Option B a better choice overall, reflecting his",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_004,selected,,,B,A,motive/heart,"Bill arrives late to the meeting due to a few minutes of waiting at the coffee shop, which causes tension among his colleagues and their",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_005,selected,,,B,A,motive/heart,"Jake holds the door open for the disabled man, allowing him easy access to the store. The disabled man appreciates the show of courtesy and",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_007,selected,,,B,A,motive/heart,Rob's friends laugh when he forgets his wallet and continue to cover his tab.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_008,selected,,,B,A,motive/heart,Option B reflects the worse motive of Amy spending less time dealing with dog hair and allowing her to spend more time with her dog.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_009,selected,,,B,A,motive/heart,Bobby's rush to fix the computer causes Jackie to spend $200 instead of paying him for his work.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_011,selected,,,B,A,motive/heart,Option B is worse at the level of heart or underlying motive.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_012,selected,,,B,A,motive/heart,Option B is worse at the level of heart or underlying motive.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_014,selected,,,B,A,outward act/rule,Diana's parents' reaction to her decision not to go to the party is more directly related to their concern about Daryl being a bad influence.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_015,selected,,,B,A,motive/heart,"John yells at the old lady to move faster. The old lady hurries up, but she trips and falls at the end of the crosswalk.",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_016,selected,,,B,A,motive/heart,"James' son studies hard for the test and is able to go to the party, indicating a better relationship with his son.",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_017,selected,,,B,A,,,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_018,selected,,,B,A,motive/heart,Ron's honesty about her make-up application is more important than the outward act of telling her how she looks.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_019,selected,,,B,A,,,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_021,selected,,,B,A,,,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_022,selected,,,B,A,motive/heart,John's jealousy and desire to keep Mary as his girlfriend are more about the underlying motive of wanting her to understand what he is feeling,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_023,selected,,,B,A,motive/heart,"Jack's proactive job search and volunteering impress the caseworkers, but his waiting around for food and asking for money in the street reflect a lack",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_024,selected,,,B,A,motive/heart,Sarah feels that she is doing well as a trainer.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_025,selected,,,B,A,motive/heart,Raul's behavior is more morally problematic because he leaves the room after telling Alexia loudly and becomes upset when she asks him what to do.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_026,selected,,,B,A,motive/heart,Sarah yells at the old lady and tells her to hurry up. The old lady hurries up but feels sad and a little scared.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_027,selected,,,B,A,motive/heart,Robert quickly moves to the stranger and uses the heimlich maneuver to save the stranger. The food gets dislodged from the stranger's throat and his,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_029,selected,,,B,A,motive/heart,Option B reflects the worse motive as it prioritizes taking a shower before bed over cleaning up.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_030,selected,,,B,A,,,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_032,selected,,,B,A,motive/heart,Chris' wife feels overwhelmed and tired taking care of everything at home.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_033,selected,,,B,A,motive/heart,Option B reflects the worse motive as it involves Bill's girlfriend dumping him when she finds out he's not going to bring her on vacation.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_034,selected,,,B,A,motive/heart,Option B reflects the worse motive as it involves a dog that gets very hot in the car and some passersby see him having a,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_035,selected,,,B,A,motive/heart,"Hilda did not help with the printer, which reflects a worse motive in relation to her goal of helping Tina.",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_036,selected,,,B,A,motive/heart,Tyler's motivation to convince Jason is more about personal safety and the potential consequences of not mowing the lawn for him.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_039,selected,,,B,A,motive/heart,Rob feels guilty for not spending the holidays with his family.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_040,selected,,,B,A,motive/heart,Craig's longer route leads to a late arrival and less trust from his boss.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_041,selected,,,B,A,motive/heart,John's decision to skip brushing his teeth in an attempt to get out the door quicker is more morally problematic because it directly affects his,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_042,selected,,,B,A,motive/heart,Option B is worse at the level of heart or underlying motive.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_043,selected,,,B,A,motive/heart,Option B reflects the worse motive as it involves turning the range on to a higher temperature and eating the meat rather than waiting for,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_044,selected,,,B,A,motive/heart,Option B reflects the worse motive as it involves ignoring the spoiled lunch and causing a negative impact on others.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_045,selected,,,B,A,motive/heart,Option B is worse at the level of heart or underlying motive.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_047,selected,,,B,A,motive/heart,Dewey's parents' surprise at his poor grades and their desire to improve him through tutoring outweigh the outward act of forging signatures.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_048,selected,,,B,A,outward act/rule,"Elizabeth uses her limited funds to buy an average cost lunch for them, but that enables her to leave a large tip for the waitress.",B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_049,selected,,,B,A,motive/heart,Vlad's lie breaks her trust and causes her to feel used and vulnerable.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_050,selected,,,B,A,motive/heart,Robert's camp does not go well that summer because his counselor Joseph does not know what he is doing.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_051,selected,,,B,A,motive/heart,James' act of throwing the tomatoes away in the garbage can reflects his desire to clean up after himself and is a more morally problematic,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_052,selected,,,A,A,motive/heart,Option A is worse at the level of heart or underlying motive.,A,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_054,selected,,,B,A,motive/heart,Joe's heart-worse option reflects the worse motive of putting the horse to physical therapy and shipping it to a glue factory.,B,A,,,,
qwen2.5:0.5b-instruct,eval,selected_v2,baseline,ms_055,selected,,,B,A,motive/heart,Dennis' desire to speed up is more motivated by the driver's anger than his own legal limit.,B,A,,,,
